"X","id","brand","category","rating","number_of_reviews","love","price","value_price","MarketingFlags","online_only","exclusive","limited_edition","limited_time_offer","has_options","has_instructions","known_ingredients","has_size","unit","pure_num","Phenoxyethanol","Glycerin","Caprylyl.Glycol","Dimethicone","Silica","Butylene.Glycol","Limonene","Tocopherol","Water","Ethylhexylglycerin","Linalool","Fragrance","Citric.Acid","Tocopheryl.Acetate","Mica","Caprylic.Capric.Triglyceride","Peg","Potassium.Sorbate","Retinyl.Palmitate","Sodium.Hyaluronate","Citronellol","Geraniol","Xanthan.Gum","PEG","log_price"
55,1736065,"AERIN","Body",5,4,961,15,15,"False",0,0,0,0,0,0,0,1,"in mL",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70805020110221
56,2115467,"AERIN","Misc",4.5,3,1300,30,30,"True",1,0,0,0,1,0,0,1,"in mL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40119738166216
57,1912427,"AERIN","Scents",4,3,1600,175,175,"True",1,0,0,0,1,0,1,1,"in mL",200,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5.16478597392351
58,1912419,"AERIN","Scents",4,14,1300,175,175,"True",1,0,0,0,1,0,1,1,"in mL",200,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5.16478597392351
59,2189975,"Aether Beauty","Face",5,116,6100,58,58,"False",0,0,0,0,0,1,1,0,"",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.06044301054642
60,2189959,"Aether Beauty","Face",5,170,8200,58,58,"False",0,0,0,0,0,1,1,0,"",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.06044301054642
61,2325223,"Aether Beauty","Makeup",5,59,3900,38,38,"False",0,0,0,0,0,1,1,1,"in grams",10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63758615972639
62,2265866,"Aether Beauty","Misc",5,18,1000,44,44,"True",1,0,1,0,0,0,1,1,"in grams",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.78418963391826
63,2265858,"Aether Beauty","Face",5,54,2400,58,58,"True",1,0,0,0,0,1,1,0,"",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.06044301054642
64,2324978,"Aether Beauty","Face",5,35,4100,28,28,"True",1,0,0,0,0,0,1,1,"in mL",5.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.3322045101752
65,1957182,"Algenist","Skincare",4,656,41300,115,115,"True",0,1,0,0,0,1,1,0,"",NA,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.74493212836325
66,2170827,"Algenist","Skincare",4.5,1000,18200,98,98,"True",0,1,0,0,0,1,1,1,"in mL",60,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.58496747867057
67,2289643,"Algenist","Sets",4.5,38,12600,125,200,"True",0,1,1,0,0,1,1,0,"",NA,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,4.8283137373023
68,1582477,"Algenist","Skincare",4.5,462,16200,112,112,"False",0,0,0,0,0,1,1,0,"",NA,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4.71849887129509
69,1328855,"Algenist","Skincare",4,873,27500,68,68,"False",0,0,0,0,0,1,1,1,"in mL",15,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,4.21950770517611
70,1420223,"Algenist","Face",4.5,422,21300,28,28,"False",0,0,0,0,0,1,1,0,"",NA,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.3322045101752
71,1644376,"Algenist","Skincare",4,100,5100,74,74,"False",0,0,0,0,0,1,1,1,"in mL",15,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,4.30406509320417
72,2063014,"Algenist","Face",4,491,32100,35,35,"True",0,1,0,0,0,1,1,1,"in mL",10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.55534806148941
73,1675974,"Algenist","Skincare",4,221,8900,118,118,"False",0,0,0,0,0,1,1,1,"in mL",30,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,4.77068462446567
74,2338317,"Algenist","Misc",0,0,0,25,25,"True",0,1,0,0,0,1,1,0,"",NA,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.2188758248682
75,2211753,"Algenist","Face",4.5,63,8100,38,38,"True",0,1,0,0,0,1,1,1,"in mL",50,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.63758615972639
76,1328822,"Algenist","Skincare",4.5,215,5500,94,94,"False",0,0,0,0,0,1,1,0,"",NA,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4.54329478227
77,1357847,"Algenist","Skincare",4.5,234,8900,94,94,"False",0,0,0,0,0,1,1,1,"in mL",60,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4.54329478227
78,1898634,"Algenist","Skincare",4.5,184,8800,95,95,"True",0,1,0,0,0,1,1,1,"in mL",60,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.55387689160054
79,1985068,"Algenist","Sets",3.5,58,8200,80,144,"True",0,1,0,0,0,1,1,0,"",NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,4.38202663467388
80,1649771,"Algenist","Skincare",4,302,7100,38,38,"False",0,0,0,0,0,1,1,1,"in mL",150,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3.63758615972639
81,1772821,"Algenist","Skincare",4,73,7200,70,70,"True",0,1,0,0,0,1,1,1,"in mL",15,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,4.24849524204936
82,2282390,"Algenist","Skincare",4.5,3,1400,84,84,"True",0,1,0,0,0,1,1,1,"in mL",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43081679884331
83,2062990,"Algenist","Skincare",4.5,24,4100,98,98,"False",0,0,0,0,0,1,1,1,"in mL",30,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4.58496747867057
84,2289320,"Algenist","Sets",4,20,6400,40,60,"True",0,1,1,0,0,1,1,0,"",NA,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.68887945411394
85,1985076,"Algenist","Sets",4.5,21,3900,95,95,"True",1,1,1,0,0,1,1,0,"",NA,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,4.55387689160054
86,2282408,"Algenist","Skincare",4.5,77,6800,58,58,"True",0,1,0,0,0,1,1,1,"in mL",40,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.06044301054642
87,1545748,"Algenist","Face",4.5,232,8000,82,82,"False",0,0,0,0,0,1,1,1,"in mL",30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.40671924726425
88,1772813,"Algenist","Skincare",4.5,67,4200,85,85,"True",0,1,0,0,0,1,1,1,"in mL",60,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,4.44265125649032
89,1790039,"Algenist","Skincare",4.5,26,2300,38,38,"False",0,0,0,0,0,1,1,1,"in mL",148,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.63758615972639
90,2282416,"Algenist","Sets",4.5,2,780,112,137,"True",1,1,1,0,0,1,1,0,"",NA,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,4.71849887129509
